digest,txId,sender,recipient,timestamp,gasPrice,accountNonce,value,commitTime,Broadcast,Monoxide_d1,Monoxide_d2,LBF_d1,LBF_d2,Proposed_d1,Proposed_d2
7ca3c019845dca337e05a9b40cbb9f0ff6a579eabef7e3bb0a42bbe0f8b64390,58,0xf0cb384bb33f21a3fd1c89e8149d03e1517d50a5,0x32be343b94f860124dc4fee278fdcbd38c102d88,1627488113886,11.0,11,2.15453151e+18,1627488118029,1,5,8,1,10,5,15
21989d51df060af6db17214c6e5a65abfab88bef3a45cf79549f818aec126ef6,63,0x037658e13e294088cfd16a534b9c1f3b37282eb2,0x32be343b94f860124dc4fee278fdcbd38c102d88,1627488113888,11.0,11,1.00676223e+18,1627488118044,1,2,8,1,6,7,15
79dafa94cde11ab485650f2a924d1913ea61259dbb7ab88ff0120979ffe8053c,64,0x79d5794171e11dd5c2f0e26e1c187319db2fe6f7,0x32be343b94f860124dc4fee278fdcbd38c102d88,1627488113888,11.0,11,4.99885e+18,1627488118050,1,7,8,1,6,14,15
bfe0c74854519d6e61748a9ee6801dc89a76e947db4c5d743033baed6fc50dd8,65,0xaa656e51565979f6893797a72fcd06716a15eab8,0x32be343b94f860124dc4fee278fdcbd38c102d88,1627488113888,11.0,11,9.9906339e+17,1627488118057,1,8,8,1,2,7,15
10f077d4f275993a752aba7ad8b31c3e09cc7fd669c9d6e6e018283f727344a7,69,0x608f4b86321a68453f9adf6f06f7fc3e621739ad,0x32be343b94f860124dc4fee278fdcbd38c102d88,1627488113889,11.0,11,1.124878117e+19,1627488118065,1,8,13,1,5,0,0
e26ca015eb7e3d9dd7518e280b1af077647f853c89aa85f2bcf727f02dac4130,70,0x560bd2acbba08ef2b330bf691ab10d4935002038,0xdda6186c093643bd45d00c14740b33785e0aca9c,1627488113890,11.0,11,1.5e+19,1627488118079,1,8,12,8,8,6,6
7f634ef0f7ba2e98d564a57161e451b4472a9597a37765a64fa0388bde2de8bf,72,0x1dcb8d1f0fcc8cbc8c2d76528e877f915e299fbe,0xd8182dd87043acd1c4f7b8ec07a0c2f8c0206707,1627488113890,11.0,11,1.03439744e+18,1627488118086,1,7,14,2,12,6,7
56ae3b22e59a9d3a059de369af69be429b0ad8c4e19cb75b6df471ff537a5a59,75,0x1dcb8d1f0fcc8cbc8c2d76528e877f915e299fbe,0x7c5080988c6d91d090c23d54740f856c69450b29,1627488113892,11.0,11,1.293114e+16,1627488118094,1,9,14,2,2,0,0
0884d073d6b699c6bab0521e2e16c43c44a3ba3ddbb1c088d53006a3335f8347,77,0x19939ad9f09d103b670c9ee56ca41d5764380f8a,0xc47aaa860008be6f65b58c6c6e02a84e666efe31,1627488113892,11.0,11,7.5895e+17,1627488118102,1,1,10,2,5,6,6
6e60e132c59a95fa7b94e58d5a062c424d431e7e21358cff2fe47276967eaf1f,78,0x608f4b86321a68453f9adf6f06f7fc3e621739ad,0x32be343b94f860124dc4fee278fdcbd38c102d88,1627488113893,11.0,11,4.99880147e+18,1627488118109,1,8,13,1,5,0,0
